agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
addison-county-transit-actr,Addison County Transit (ACTR),F,37.8,2026-08-07,stale,-2410,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
chittenden-county-transportation-authority-ccta,Chittenden County Transportation Authority (CCTA),C,79.0,2026-08-07,current,55,yes,Service data expires in 55 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
marble-valley-regional-transit-district-mvrtd,Marble Valley Regional Transit District (MVRTD),D,60.0,2026-08-07,expiring_soon,24,yes,Service data expires in 24 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
marble-valley-regional-transit-district-mvrtd-2831,Marble Valley Regional Transit District (MVRTD) Flex,F,48.6,2026-08-07,expiring_soon,24,yes,Service data expires in 24 day(s),Re-export with a validity window that reaches at least 60 days out.,at_risk
moover,MOOver,F,39.5,2026-08-07,stale,-1717,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",at_risk
rockingham-moover,Rockingham MOOver,C,79.0,2026-08-07,current,55,yes,Service data expires in 55 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
vtrans,Springfield MicroMoo,D,60.7,2026-08-07,current,55,yes,Service data expires in 55 day(s),Review the rule documentation for 'trip_distance_exceeds_shape_distance' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,at_risk
stagecoach-transportation-services-sts,Stagecoach Transportation Services (STS),F,21.4,2026-08-07,stale,-2410,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
the-current,The Current,F,39.5,2026-08-07,stale,-1717,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",at_risk
advance-transit,Advance Transit,C,74.3,2026-08-07,current,116,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
green-mountain-community-network-gmcn,Green Mountain Community Network (GMCN),C,78.0,2026-08-07,current,178,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
lake-champlain-ferries,Lake Champlain Ferries,C,76.7,2026-08-07,current,110,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every terminal. A field survey can start with the busiest terminals.,ready
rural-community-transportation-rct,Rural Community Transportation (RCT),B,83.1,2026-08-07,current,146,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
rural-community-transportation-rct-2882,Rural Community Transportation (RCT),C,79.4,2026-08-07,current,145,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,at_risk
tri-valley-transit,Tri-Valley Transit,C,78.8,2026-08-07,current,86,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
vermont-translines,Vermont Translines,B,84.0,2026-08-07,current,327,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
